"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"89" 0 0 0 0 0 0 0 0 0 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1009 0.1392 0 0
"91" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"92" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"93" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1009 0.1392 0 0
"94" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0.1447
"95" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0.1392 0 0
"96" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 23.4495 0 4.1974 17.5744 0 0 0 0 0 0 0 0.025 0.1392 0 0
"97" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37.992 15.9676 0 8.0988 0 0 0 0 0 0 0 0 0 0 0 0 0 0.193 0.2894
"98" 0 0 0 0 2.3674 0 3.0134 0 0 6.24 0 0 0 0 0 0 0 0 4.1288 0 57.663 8.3948 0 0 0 0 0 0 0 0 0 0 0 0
"99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0
"100" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.5744 0 0 0 0 0 0 0 0 0 0 0
"101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"104" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0
"105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0.1392 0 0
"106" 0 0 0 0 0 4.6706 3.0134 0 0 0 43.6008 17.86 43.5812 146.3566 13.2813 37.992 0 0 0 0 0 4.1974 0 0 0 21.6292 9.2408 1.8554 3.0584 0.1753 0.1769 3.1659 0.5791 0.2894
"107" 0 0 0 2.565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" 0 0 0 0 0 4.6706 3.0134 0 14.5908 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0.0489 0
"109" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"110" 0 0 0 0 0 0 0 0 4.8636 0 0 0 0 0 0 37.992 0 14.469 0 0 9.675 0 0 24.5458 0 0 0 0 0 0.1753 0 0 0.0489 0
"111" 0 0 0 0 16.6964 9.3412 15.067 0 14.5908 43.68 0 0 0 0 0 0 0 0 0 0 9.675 0 35.698 24.5458 0 0 0 0 0 0 0 0 0.0489 0
"112" 0 0 0 0 7.1022 4.6706 9.0402 13.0239 0 3.072 196.4982 23.75 27.2948 97.8406 161.8351 697.1532 95.5955 682.9368 20.3264 0 856.818 100.6022 445.9504 509.9192 99.949 0 0 0.6212 1.9345 4.1907 0.6075 0.5517 0.242 0.5834
"113" 0 0 0 0 0 0 0 0 0 0 10.9002 0 5.4288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"115" 0 0 0 0 0 0 0 0 0 0 10.9002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"116" 0 0 0 0 0 0 3.0134 0 4.8636 0 10.9002 0 0 0 13.2813 0 0 0 0 0 0 0 17.5744 0 0 0 1.0209 0 0 0 0.0509 0.4125 0 0
"117" 0 0 0 0 4.7348 0 0 0 0 0 10.9002 23.75 16.2864 322.2271 40.3358 75.3508 135.3044 740.8128 56.6916 39.0825 163.701 79.6152 53.2724 121.1454 139.192 0 0 0 0 0 0 0 0 0
"118" 0 0 0 0 2.3674 0 0 0 0 0 0 5.89 119.7352 507.8008 67.3903 18.996 15.9676 28.938 16.1976 7.8165 0 12.5922 0 0 0 0 0 0 0 0 0 0 0 0
"119" 0 0 0 0 0 0 3.0134 0 4.8636 6.24 10.9002 0 0 29.1096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" 0 0 0 0 0 0 0 0 0 12.48 0 23.75 21.7152 0 54.109 18.996 0 0 77.018 0 0 8.3948 35.698 0 7.112 0.9311 6.1518 0.6212 0.4836 0 0 0.4125 0.0978 2.3242
"121" 0 0 0 0 0 0 0 0 4.8636 0 10.9002 29.64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" 0 0 0 0 0 0 0 0 0 0 0 29.64 5.4288 0 13.2813 0 0 0 0 0 0 0 0 0 3.556 0 0 0 0 0 0 0 0 0
